x,y,z
15.317983320806682,218.9631175109908,a
-14.221031198038453,214.3856134956547,a
20.681899007385663,204.4562284128324,a
64.76767617473448,258.1927298414806,a
-7.573339945551169,193.37039894804423,a
28.546242258358678,199.54907521770298,a
41.18161568915768,248.05389600896848,a
40.03384485708081,198.00085745825243,a
70.91977527111214,234.3756467484339,a
63.36338646881289,215.62638053324014,a
79.24757409755773,202.00632656051732,a
21.763037406239885,206.59241388455052,a
18.34781485316669,234.18576267260727,a
46.203315817259806,240.40362999874247,a
17.51434986510288,186.37799579940292,a
53.55581795823313,249.50722221009286,a
70.25395068909238,235.5717886610695,a
96.41454762054676,240.21440072992505,a
61.51355777426029,214.69807617716822,a
68.2458416085855,234.63777844505893,a
96.51930574197026,213.02936724023982,a
113.944621073008,267.9674497423845,a
98.00530675264322,217.59875227262825,a
31.32273191121888,213.704369398008,a
93.38347393033153,212.58105127096985,a
86.63035569240809,240.48746575728012,a
137.61804876155213,208.38551861278148,a
119.45080308215857,249.95260543160484,a
135.97173719003607,256.8243526917201,a
82.52546500996017,235.9795059143401,a
106.62932647631908,220.58867118657992,a
108.73862855096027,237.13317672094985,a
190.9662981991826,212.632449378922,a
126.97496487707559,227.79991145899004,a
126.36158999785859,249.2572655557637,a
144.63039774396017,178.39727805032112,a
123.69468216614712,213.1912200868639,a
123.09985139718981,209.54664143598188,a
148.23274138674802,247.8515553314066,a
162.5771386084412,206.25144273967726,a
135.32291141186883,177.9505339118968,a
169.94047264729886,249.36243180524275,a
132.2482042228356,212.58873070334158,a
185.67903934901943,218.85184276001604,a
136.53423767395122,216.76603180966413,a
187.5714784306404,237.03127954971058,a
137.4331170170688,239.42026966489965,a
161.71245736612462,249.39677868787442,a
172.63994523902053,235.644902464547,a
175.16758420327736,214.41004351031177,a
202.7606336913658,197.8449841767188,a
188.2859491584546,221.73158110989732,a
185.0512417520016,161.58936004736813,a
169.3577400251767,225.2386826288526,a
167.8167249163986,214.89849267909148,a
197.15423552973218,192.49742696255487,a
168.4557675924102,262.5648600281944,a
208.02868151484228,215.5266503256683,a
214.82198499606383,210.36755051906277,a
157.2189356980208,248.64373043999265,a
186.68878560704803,200.81720772478127,a
213.31405055697599,236.01070646219824,a
193.5659382265811,216.8651797252623,a
230.123345122651,226.24646763224297,a
232.7660471256092,256.54806070888844,a
215.34303336403207,233.01396663732112,a
248.09000867188797,253.8701832031055,a
244.37710274584572,230.19334703446782,a
250.18115808880313,204.54372860912946,a
261.887137221787,205.50329802421015,a
235.3303730094429,237.06433777637562,a
285.26985619330657,282.5105101136842,a
244.38330908784897,180.84254461968084,a
282.8793913933868,237.21402842821158,a
298.27790970284616,244.71029543638574,a
279.9150041109716,194.9708454094528,a
289.5854902135605,258.70377857242636,a
312.9932621968581,304.25598978261,a
306.9044038062393,280.773730814914,a
278.12687957932457,269.4882150120086,a
286.3336288984266,248.7556412654707,a
312.75054933784963,217.88565876519124,a
310.353361180202,238.694996896847,a
297.6047839594263,229.49647243632978,a
283.95901466978745,217.94956897752985,a
326.83989983284965,300.99203444402735,a
283.464375694432,244.4438662762682,a
321.00939402011846,268.08823316131384,a
289.32395019225726,235.13478196144735,a
274.91351116882424,279.1909651546223,a
351.51058825393875,228.1484695620535,a
389.0438387502611,248.10928128764888,a
361.6242768724302,273.7586999576382,a
336.9368039750212,277.56358470823903,a
309.842450771633,241.90170183078044,a
375.2763830586116,209.04907550394358,a
357.5047940512376,230.16941543451873,a
378.2031051485417,282.36990163906154,a
389.2527002539742,242.61203334271278,a
363.6649246391263,271.3658792830722,a
403.22826036511094,251.75331911012387,a
419.6325459841429,276.3527680154574,a
398.6858082042169,255.99026540683136,a
402.42333184699,264.9494907740974,a
445.07332116340234,283.77276032058694,a
433.907108842939,274.1501651152215,a
458.0453178828375,249.66715462837274,a
478.28400561641956,245.10875531924788,a
511.4126520554253,249.13987162180857,a
480.096115823015,267.08782774216536,a
